PLAYER_ID,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS
1630245,Ayo Dosunmu,30.3,4.8,9.76,0.5,1.35,4.11,0.33,1.35,1.72,0.44,0.57,2.93,3.5,4.52,1.5,0.93,0.39,0.74,2.28,1.37,12.3
1630249,Vít Krejčí,20.22,2.54,5.12,0.46,1.58,3.61,0.38,0.56,0.79,0.3,0.39,2.35,2.74,2.58,0.88,0.63,0.46,0.14,1.84,0.72,7.23
1630256,Jae'Sean Tate,11.31,1.35,2.85,0.35,0.31,0.88,0.14,0.62,0.9,0.25,0.96,1.29,2.25,0.9,0.42,0.5,0.13,0.31,1.58,1.02,3.62
1630264,Anthony Gill,7.8,0.84,1.73,0.32,0.2,0.61,0.14,0.65,0.98,0.2,0.35,0.94,1.29,0.31,0.2,0.18,0.04,0.12,0.59,0.73,2.53
1630283,Kylor Kelley,11.45,1.27,2.0,0.44,0.0,0.0,0.0,0.55,0.91,0.27,1.09,2.45,3.55,0.45,0.36,0.09,0.27,0.0,1.36,0.55,3.09
1630288,Jeff Dowtin Jr.,15.14,2.73,5.61,0.39,0.68,1.71,0.24,0.8,1.1,0.27,0.29,1.17,1.46,1.9,0.37,0.59,0.29,0.29,0.71,0.93,6.95
1630296,Braxton Key,3.61,0.0,1.33,0.0,0.0,0.33,0.0,1.0,2.0,0.33,0.33,0.33,0.67,0.0,0.33,0.67,0.0,0.33,0.0,1.0,1.0
1630311,Pat Spencer,6.4,1.05,2.59,0.27,0.13,0.56,0.05,0.28,0.38,0.14,0.38,0.79,1.18,1.23,0.46,0.36,0.08,0.26,0.51,0.49,2.51
1630314,Brandon Williams,14.76,2.97,5.7,0.41,0.73,1.82,0.27,1.67,2.0,0.5,0.36,1.39,1.76,2.3,1.18,0.73,0.15,0.61,1.0,1.73,8.33
1630322,Lindy Waters III,14.97,1.77,4.79,0.34,1.23,3.58,0.33,0.15,0.21,0.08,0.38,1.73,2.12,1.0,0.38,0.52,0.21,0.19,1.19,0.33,4.92
1630346,Matt Ryan,3.57,0.53,1.63,0.17,0.32,1.0,0.13,0.11,0.11,0.05,0.0,0.42,0.42,0.16,0.16,0.11,0.0,0.11,0.05,0.11,1.47
1630526,Jeremiah Robinson-Earl,18.77,2.39,5.26,0.44,0.85,2.48,0.3,0.7,0.83,0.28,1.67,3.11,4.77,1.33,0.77,0.59,0.11,0.27,1.2,0.74,6.33
1630527,Brandon Boston,23.64,3.95,9.07,0.41,1.17,3.33,0.32,1.6,2.02,0.52,0.67,2.52,3.19,2.19,1.24,1.26,0.21,0.57,1.74,1.6,10.67
1630528,Josh Christopher,4.95,0.79,2.21,0.19,0.14,0.79,0.09,0.29,0.43,0.14,0.0,0.64,0.64,0.57,0.43,0.36,0.21,0.07,0.14,0.29,2.0
1630529,Herbert Jones,32.41,3.75,8.6,0.43,1.1,3.6,0.26,1.65,2.0,0.49,1.1,2.8,3.9,3.25,1.75,1.85,0.45,0.5,3.3,1.95,10.25
1630530,Trey Murphy III,34.99,7.19,15.83,0.45,2.98,8.26,0.35,3.85,4.34,0.84,0.89,4.17,5.06,3.55,1.94,1.06,0.74,0.55,2.11,3.51,21.21
1630531,Jaden Springer,8.49,0.81,2.09,0.25,0.28,1.12,0.13,0.63,0.88,0.27,0.4,0.95,1.35,0.77,0.37,0.56,0.09,0.09,0.98,0.86,2.53
1630532,Franz Wagner,33.72,8.95,19.35,0.46,1.73,5.87,0.27,4.52,5.18,0.81,0.93,4.77,5.7,4.73,2.3,1.25,0.35,1.25,2.45,4.2,24.15
1630533,Ziaire Williams,24.47,3.4,8.25,0.39,1.63,4.79,0.31,1.6,1.95,0.57,0.97,3.59,4.56,1.33,1.06,0.98,0.44,0.6,2.37,1.84,10.03
1630534,Ochai Agbaji,27.17,4.16,8.34,0.51,1.58,3.95,0.38,0.53,0.75,0.22,0.95,2.83,3.78,1.53,0.84,0.91,0.47,0.56,1.95,0.75,10.42
1630537,Chris Duarte,4.38,0.71,1.53,0.39,0.35,0.88,0.29,0.35,0.47,0.1,0.29,0.88,1.18,0.53,0.06,0.0,0.0,0.06,0.41,0.35,2.12
1630538,Bones Hyland,9.95,1.96,4.92,0.37,1.33,3.42,0.31,0.96,1.08,0.41,0.21,0.83,1.04,1.33,1.04,0.75,0.17,0.21,1.21,0.71,6.21
1630539,Kai Jones,11.71,2.17,2.72,0.56,0.02,0.12,0.01,0.57,0.8,0.24,1.0,2.12,3.12,0.62,0.45,0.38,0.57,0.08,1.25,0.68,4.95
1630540,Miles McBride,24.9,3.47,8.55,0.4,1.8,4.88,0.35,0.81,1.0,0.33,0.73,1.78,2.52,2.92,0.64,1.05,0.27,0.52,1.69,1.08,9.55
1630541,Moses Moody,22.29,3.32,7.68,0.43,1.7,4.55,0.36,1.43,1.8,0.48,0.7,1.85,2.55,1.3,0.73,0.8,0.42,0.49,1.57,1.41,9.78
1630542,Marcus Bagley,25.32,2.7,6.9,0.37,0.5,3.2,0.07,0.8,1.0,0.4,2.3,4.7,7.0,1.0,0.7,0.9,1.2,0.5,1.6,1.0,6.7
